codigo_padre_plataforma,codigo_MLB_padre
149,MLB1550697447
101,MLB1550693897
113,MLB1550697450
147,MLB1550691863
201,MLB1550691865
87,MLB1550691867
85,MLB1550697453
109,MLB1550693906
143,MLB1550693901
145,MLB1550693909
103,MLB1550697456
141,MLB1550693910
83,MLB1550691874
151,MLB1550691877
81,MLB1550691878
79,MLB1550693915
125,MLB1550693913
105,MLB1550693914
107,MLB1550693916
47,MLB1550712415
15,MLB1550710071
17,MLB1550712419
51,MLB1550712425
167,MLB1554666241
159,MLB1554740225
139,MLB1554804327
135,MLB1554856028
203,MLB1555839817
205,MLB1555859837
225,MLB1555888450
209,MLB1556048259
37,MLB1556098285
97,MLB1556108807
95,MLB1556106292
93,MLB1556110749
91,MLB1556133909
89,MLB1556135069
35,MLB1556252243
275,MLB1559695446
321,MLB1686315783
321,MLB1686321264
319,MLB1697316067
319,MLB1697318006
337,MLB1700875223
337,MLB1701283915
367,MLB2026478440
369,MLB2026498075
371,MLB2026492143
367,MLB2026645403
369,MLB2026624101
371,MLB2026657802
